timestamp,source_ip,source_port,destination_ip,destination_port,l4_proto,l2_proto,l7_proto
1716824064.687321,104.18.41.158,443,192.168.1.66,60090,TCP,2048,nil
1716824064.687509,192.168.1.66,60090,104.18.41.158,443,TCP,2048,nil
1716824064.688997,192.168.1.66,60090,104.18.41.158,443,TCP,2048,nil
1716824064.689269,192.168.1.66,50879,104.18.41.158,443,UDP,2048,nil
1716824064.689302,192.168.1.66,50879,104.18.41.158,443,UDP,2048,nil
1716824064.689417,104.18.41.158,443,192.168.1.66,60093,TCP,2048,nil
1716824064.689417,104.18.41.158,443,192.168.1.66,60092,TCP,2048,nil
1716824064.689417,104.18.41.158,443,192.168.1.66,60091,TCP,2048,nil
1716824064.689417,104.18.41.158,443,192.168.1.66,60094,TCP,2048,nil
1716824064.689864,192.168.1.66,60093,104.18.41.158,443,TCP,2048,nil
1716824064.689881,192.168.1.66,60092,104.18.41.158,443,TCP,2048,nil
1716824064.689897,192.168.1.66,60091,104.18.41.158,443,TCP,2048,nil
1716824064.689915,192.168.1.66,60094,104.18.41.158,443,TCP,2048,nil
1716824064.691733,104.18.41.158,443,192.168.1.66,60089,TCP,2048,nil
1716824064.692599,104.18.41.158,443,192.168.1.66,60089,TCP,2048,nil
1716824064.692752,192.168.1.66,50879,104.18.41.158,443,UDP,2048,nil
1716824064.692799,192.168.1.66,50879,104.18.41.158,443,UDP,2048,nil
1716824064.69347,104.18.41.158,443,192.168.1.66,60089,TCP,2048,nil
1716824064.69347,104.18.41.158,443,192.168.1.66,60089,TCP,2048,nil
1716824064.69347,104.18.41.158,443,192.168.1.66,60089,TCP,2048,nil
1716824064.69347,104.18.41.158,443,192.168.1.66,60090,TCP,2048,nil
1716824064.69347,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.69347,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.69347,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.69347,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.693586,192.168.1.66,60089,104.18.41.158,443,TCP,2048,nil
1716824064.694501,192.168.1.66,60094,104.18.41.158,443,TCP,2048,nil
1716824064.695295,104.18.41.158,443,192.168.1.66,60090,TCP,2048,nil
1716824064.695295,104.18.41.158,443,192.168.1.66,60090,TCP,2048,nil
1716824064.695295,104.18.41.158,443,192.168.1.66,60090,TCP,2048,nil
1716824064.695583,192.168.1.66,50879,104.18.41.158,443,UDP,2048,nil
1716824064.696859,104.18.41.158,443,192.168.1.66,60090,TCP,2048,nil
1716824064.69698,192.168.1.66,60090,104.18.41.158,443,TCP,2048,nil
1716824064.697905,192.168.1.66,50879,104.18.41.158,443,UDP,2048,nil
1716824064.69799,192.168.1.66,50879,104.18.41.158,443,UDP,2048,nil
1716824064.69898,104.18.41.158,443,192.168.1.66,60094,TCP,2048,nil
1716824064.699034,192.168.1.66,60093,104.18.41.158,443,TCP,2048,nil
1716824064.700568,192.168.1.66,60089,104.18.41.158,443,TCP,2048,nil
1716824064.700905,192.168.1.66,60089,104.18.41.158,443,TCP,2048,nil
1716824064.703199,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.703199,104.18.41.158,443,192.168.1.66,60094,TCP,2048,nil
1716824064.703199,104.18.41.158,443,192.168.1.66,60094,TCP,2048,nil
1716824064.703199,104.18.41.158,443,192.168.1.66,60094,TCP,2048,nil
1716824064.703199,104.18.41.158,443,192.168.1.66,60094,TCP,2048,nil
1716824064.703199,104.18.41.158,443,192.168.1.66,60093,TCP,2048,nil
1716824064.70336,192.168.1.66,60094,104.18.41.158,443,TCP,2048,nil
1716824064.703489,192.168.1.66,50879,104.18.41.158,443,UDP,2048,nil
1716824064.703513,192.168.1.66,60090,104.18.41.158,443,TCP,2048,nil
1716824064.703793,104.18.41.158,443,192.168.1.66,60093,TCP,2048,nil
1716824064.703793,104.18.41.158,443,192.168.1.66,60093,TCP,2048,nil
1716824064.703793,104.18.41.158,443,192.168.1.66,60093,TCP,2048,nil
1716824064.703793,104.18.41.158,443,192.168.1.66,60093,TCP,2048,nil
1716824064.703793,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.703894,192.168.1.66,60093,104.18.41.158,443,TCP,2048,nil
1716824064.705102,104.18.41.158,443,192.168.1.66,60089,TCP,2048,nil
1716824064.705102,104.18.41.158,443,192.168.1.66,60089,TCP,2048,nil
1716824064.707394,192.168.1.66,60091,104.18.41.158,443,TCP,2048,nil
1716824064.70774,192.168.1.66,60090,104.18.41.158,443,TCP,2048,nil
1716824064.708348,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.708348,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.708348,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.708348,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.708348,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.708883,104.18.41.158,443,192.168.1.66,60090,TCP,2048,nil
1716824064.709086,192.168.1.66,50879,104.18.41.158,443,UDP,2048,nil
1716824064.709926,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.710163,192.168.1.66,60089,104.18.41.158,443,TCP,2048,nil
1716824064.710656,192.168.1.66,60090,104.18.41.158,443,TCP,2048,nil
1716824064.710674,192.168.1.66,60090,104.18.41.158,443,TCP,2048,nil
1716824064.710964,192.168.1.66,60094,104.18.41.158,443,TCP,2048,nil
1716824064.71175,192.168.1.66,60094,104.18.41.158,443,TCP,2048,nil
1716824064.712473,192.168.1.66,60093,104.18.41.158,443,TCP,2048,nil
1716824064.712627,192.168.1.66,60094,104.18.41.158,443,TCP,2048,nil
1716824064.712652,192.168.1.66,60094,104.18.41.158,443,TCP,2048,nil
1716824064.713166,192.168.1.66,60093,104.18.41.158,443,TCP,2048,nil
1716824064.713775,192.168.1.66,60093,104.18.41.158,443,TCP,2048,nil
1716824064.713801,192.168.1.66,60093,104.18.41.158,443,TCP,2048,nil
1716824064.717474,0.0.0.0,68,255.255.255.255,67,UDP,2048,nil
1716824064.722632,192.168.1.66,60092,104.18.41.158,443,TCP,2048,nil
1716824064.740166,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.740166,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.740166,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.740166,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.740166,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.740166,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.740166,104.18.41.158,443,192.168.1.66,60090,TCP,2048,nil
1716824064.740166,104.18.41.158,443,192.168.1.66,60091,TCP,2048,nil
1716824064.740492,192.168.1.66,60090,104.18.41.158,443,TCP,2048,nil
1716824064.740507,192.168.1.254,1900,239.255.255.250,1900,UDP,2048,nil
1716824064.740507,192.168.1.254,1900,239.255.255.250,1900,UDP,2048,nil
1716824064.740996,192.168.1.66,50879,104.18.41.158,443,UDP,2048,nil
1716824064.742106,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.742106,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.742106,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
